generic_name_clean,side_effect,term_type,source
calcium,Abscess,LLT,all
calcium,Abscess,PT,all
calcium,Anorexia,LLT,all
calcium,Decreased appetite,PT,all
calcium,Arrhythmia,LLT,all
calcium,Arrhythmia,PT,all
calcium,Asthenia,LLT,all
calcium,Asthenia,PT,all
calcium,Calcinosis,LLT,all
calcium,Calcinosis,PT,all
calcium,Coma,LLT,all
calcium,Coma,PT,all
calcium,Confusional state,LLT,all
calcium,Confusional state,PT,all
calcium,Feeling abnormal,PT,all
calcium,Constipation,LLT,all
calcium,Constipation,PT,all
calcium,Delirium,LLT,all
calcium,Delirium,PT,all
calcium,Diarrhoea,LLT,all
calcium,Diarrhoea,PT,all
calcium,Dizziness,LLT,all
calcium,Dizziness,PT,all
calcium,Oedema,LLT,all
calcium,Oedema,PT,all
calcium,Cardiac arrest,LLT,all
calcium,Cardiac arrest,PT,all
calcium,Hypercalcaemia,LLT,all
calcium,Hypercalcaemia,PT,all
calcium,Hypersensitivity,LLT,all
calcium,Hypersensitivity,PT,all
calcium,Hypotension,LLT,all
calcium,Hypotension,PT,all
calcium,Nausea,LLT,all
calcium,Nausea,PT,all
calcium,Necrosis,LLT,all
calcium,Necrosis,PT,all
calcium,Pruritus,LLT,all
calcium,Pruritus,PT,all
calcium,Syncope,LLT,all
calcium,Loss of consciousness,PT,all
calcium,Shock,PT,all
calcium,Syncope,PT,all
calcium,Vasodilation,LLT,all
calcium,Vasodilation procedure,PT,all
calcium,Vomiting,LLT,all
calcium,Vomiting,PT,all
calcium,Venospasm,LLT,all
calcium,Vasospasm,PT,all
calcium,Stupor,LLT,all
calcium,Stupor,PT,all
calcium,Depressed level of consciousness,PT,all
calcium,Bradycardia,LLT,all
calcium,Bradycardia,PT,all
calcium,Sense of oppression,LLT,all
calcium,Sense of oppression,PT,all
calcium,Peripheral vasodilatation,LLT,all
calcium,Vasodilatation,PT,all
calcium,Tingling sensation,LLT,all
calcium,Paraesthesia,PT,all
calcium,Chalky taste,LLT,all
calcium,Dysgeusia,PT,all
bupropion,Abdominal distension,LLT,all
bupropion,Abdominal distension,PT,all
bupropion,Abdominal pain,LLT,all
bupropion,Gastrointestinal pain,PT,all
bupropion,Abdominal pain,PT,all
bupropion,Aggression,LLT,all
bupropion,Aggression,PT,all
bupropion,Alopecia,LLT,all
bupropion,Alopecia,PT,all
bupropion,Amblyopia,LLT,all
bupropion,Amblyopia,PT,all
bupropion,Amenorrhoea,LLT,all
bupropion,Amenorrhoea,PT,all
bupropion,Amnesia,LLT,all
bupropion,Amnesia,PT,all
bupropion,Anaphylactic shock,LLT,all
bupropion,Anaphylactic shock,PT,all
bupropion,Anaemia,LLT,all
bupropion,Anaemia,PT,all
bupropion,Anger,LLT,all
bupropion,Anger,PT,all
bupropion,Angioedema,LLT,all
bupropion,Angioedema,PT,all
bupropion,Anorexia,LLT,all
bupropion,Decreased appetite,PT,all
bupropion,Anxiety,LLT,all
bupropion,Anxiety,PT,all
bupropion,Aphasia,LLT,all
bupropion,Aphasia,PT,all
bupropion,Arrhythmia,LLT,all
bupropion,Arrhythmia,PT,all
bupropion,Arthralgia,LLT,all
bupropion,Arthralgia,PT,all
bupropion,Musculoskeletal discomfort,PT,all
bupropion,Arthritis,LLT,all
bupropion,Arthritis,PT,all
bupropion,Asthenia,LLT,all
bupropion,Asthenia,PT,all
bupropion,Asthma,LLT,all
bupropion,Asthma,PT,all
bupropion,Ataxia,LLT,all
bupropion,Ataxia,PT,all
bupropion,Back injury,LLT,all
bupropion,Back injury,PT,all
bupropion,Back pain,LLT,all
bupropion,Back pain,PT,all
bupropion,Mental disorder,LLT,all
bupropion,Mental disorder,PT,all
bupropion,Bipolar disorder,LLT,all
bupropion,Bipolar disorder,PT,all
bupropion,Bipolar I disorder,PT,all
bupropion,Concussion,LLT,all
bupropion,Concussion,PT,all
