generic_name_clean,top_label_confirmed_side_effects,side_effect_count_label_confirmed
abacavir,"abdominal discomfort, abdominal pain, alanine aminotransferase increased, alopecia, anaemia, anxiety, arthralgia, aspartate aminotransferase increased, asthenia, blood bilirubin increased, blood creatine phosphokinase increased, blood creatinine increased, blood triglycerides increased, body temperature increased, breath sounds abnormal, bronchitis, chills, conjunctivitis, convulsion, cough, decreased appetite, depression, dermatitis, diarrhoea, discomfort, dizziness, dyspnoea, fatigue, feeling abnormal, gamma-glutamyltransferase increased, gastritis, gastrointestinal disorder, gastrointestinal pain, headache, hypercholesterolaemia, hyperglycaemia, hypersensitivity, hypertriglyceridaemia, hypotension, ill-defined disorder, infection, inflammation, influenza like illness, insomnia, lethargy, leukopenia, liver function test abnormal, lymphopenia, malaise, malnutrition, migraine, mouth ulceration, muscular weakness, musculoskeletal discomfort, musculoskeletal pain, myalgia, nausea, nervous system disorder, neuropathy peripheral, neutropenia, oedema, opportunistic infection, pain, paraesthesia, pharyngitis, pneumonia, pruritus, rash, renal failure, skin disorder, stomatitis, thrombocytopenia, urticaria, vertigo, vomiting, abnormal dreams, acute coronary syndrome, acute respiratory distress syndrome, anaphylactic shock, breast enlargement, depressed mood, drug hypersensitivity, dysthymic disorder, erythema multiforme, fat redistribution, gastroenteritis, hepatic failure, hepatitis, hepatomegaly, hyperlactacidaemia, lactic acidosis, lipodystrophy acquired, lymphadenopathy, myocardial infarction, oropharyngeal pain, pancreatitis, respiratory tract infection, sensitisation, sleep disorder, stevens-johnson syndrome, toxic epidermal necrolysis, wheezing, oropharyngeal discomfort, aplasia pure red cell, aplastic anaemia, hepatic steatosis, hyperamylasaemia, lipohypertrophy, rhabdomyolysis, respiratory failure, splenomegaly, autoimmune disorder, basedow's disease, hepatitis b, insulin resistance, aids dementia complex",116
abiraterone,"alanine aminotransferase increased, anaemia, angiopathy, aspartate aminotransferase increased, asthenia, blood alkaline phosphatase increased, blood triglycerides increased, body temperature increased, cardiac disorder, chest pain, constipation, contusion, cough, dermatitis, diarrhoea, discomfort, dyspepsia, dyspnoea, fatigue, fluid retention, gastrointestinal disorder, haematuria, hot flush, hypercholesterolaemia, hyperglycaemia, hypertension, hypertriglyceridaemia, hypokalaemia, hypophosphataemia, infection, infestation, insomnia, lymphopenia, mediastinal disorder, menopausal symptoms, mental disorder, musculoskeletal discomfort, myalgia, nasopharyngitis, oedema, pneumonia, rash, skin disorder, upper respiratory tract infection, urethral disorder, urinary tract disorder, urinary tract infection, vomiting, acute coronary syndrome, arrhythmia, blood potassium decreased, cardiac failure, chest discomfort, connective tissue disorder, fracture, groin pain, hepatotoxicity, hypernatraemia, joint swelling, multiple fractures, myocardial infarction, myocardial ischaemia, pollakiuria, nocturia, sudden death, cardio-respiratory arrest",66
acarbose,"abdominal pain, angiopathy, constipation, dermatitis, diarrhoea, dyspepsia, erythema, flatulence, gastrointestinal disorder, gastrointestinal pain, hepatobiliary disease, hypersensitivity, ileus, intestinal obstruction, jaundice, liver function test abnormal, nausea, oedema, rash, thrombocytopenia, urticaria, vomiting, hepatic function abnormal, hepatitis, hepatocellular injury, immune system disorder, intestinal perforation, liver injury, rectal haemorrhage, liver disorder, subileus, traumatic liver injury, foetor hepaticus, hepatitis fulminant, intussusception, intestinal haemorrhage, pneumatosis, pneumatosis intestinalis, pneumoperitoneum, volvulus",40
acetaminophen,"abdominal discomfort, abdominal distension, abdominal pain, agitation, anaemia, angiopathy, anxiety, aspartate aminotransferase increased, asthenia, blood pressure increased, body temperature increased, breath sounds abnormal, cardiac disorder, chest pain, chills, constipation, convulsion, cough, decreased appetite, dermatitis, dermatitis atopic, dermatitis exfoliative, diarrhoea, discomfort, disturbance in attention, dizziness, dry mouth, dyskinesia, dyspepsia, dyspnoea, dysuria, eructation, erythema, eye disorder, fatigue, feeling abnormal, flushing, gastrointestinal disorder, gastrointestinal pain, haemoglobin, haemorrhage, hallucination, headache, hepatic enzyme increased, hepatobiliary disease, hyperglycaemia, hyperhidrosis, hypersensitivity, hypertension, hypokalaemia, hypomagnesaemia, hypophosphataemia, hypotension, hypotonia, ill-defined disorder, injection site pain, injection site reaction, insomnia, irritability, leukopenia, malaise, malnutrition, mediastinal disorder, mental disorder, muscle relaxant therapy, muscle spasms, muscular weakness, myoclonus, nausea, nervous system disorder, nervousness, neutropenia, oedema, oedema peripheral, pain in extremity, palpitations, pancytopenia, periorbital oedema, photosensitivity reaction, post procedural haemorrhage, pruritus, rash, skin disorder, somnolence, tachycardia, tension, thrombocytopenia, tremor, urethral disorder, urinary tract disorder, urticaria, vision blurred, vomiting, agranulocytosis, alveolitis, anaphylactic shock, angioedema, asthma, atelectasis, azotaemia, balance disorder, bronchospasm, chest discomfort, confusional state, connective tissue disorder, dysphoria, dystonia, erythema multiforme, euphoric mood, fluid overload, hepatic failure, hepatic function abnormal, hepatitis, hepatocellular injury, immune system disorder, infusion site pain, liver injury, muscle twitching, mydriasis, nightmare, oliguria, pancreatitis acute, pleural effusion, pneumothorax, pulmonary function test decreased, pulmonary oedema, rash macular, rash maculo-papular, rash pustular, renal failure acute, renal tubular necrosis, respiratory depression, shock, stevens-johnson syndrome, toxic epidermal necrolysis, trismus, urinary retention, wheezing, coordination abnormal, hyperreflexia, strangury, urinary hesitation, blood disorder, coma, drug eruption, drug interaction, haemolytic anaemia, hypoalbuminaemia, mental status changes, stridor, traumatic liver injury, acute generalised exanthematous pustulosis, angle closure glaucoma, energy increased, hepatic necrosis, hepatitis fulminant, serotonin syndrome, acute hepatic failure, administration site reaction, benign prostatic hyperplasia, bladder neck obstruction, pemphigoid, anaemia postoperative, kounis syndrome",164
acetazolamide,"agitation, asthenia, ataxia, body temperature increased, convulsion, decreased appetite, diarrhoea, discomfort, dizziness, dysgeusia, dyspepsia, fatigue, feeling abnormal, flushing, gastrointestinal disorder, haematuria, headache, hepatobiliary disease, hypoglycaemia, hypokalaemia, hyponatraemia, ill-defined disorder, injection site pain, irritability, leukopenia, malaise, metabolic acidosis, nausea, paraesthesia, photosensitivity reaction, somnolence, thirst, thrombocytopenia, urticaria, vomiting, agranulocytosis, anaphylactic shock, confusional state, electrolyte imbalance, erythema multiforme, glycosuria, growth retardation, hepatic failure, hepatic function abnormal, hypoaesthesia, jaundice cholestatic, melaena, polydipsia, polyuria, shock, stevens-johnson syndrome, tinnitus, toxic epidermal necrolysis, urine output increased, sensory loss, anaphylactoid reaction, aplastic anaemia, blood disorder, myopia, hepatic necrosis, osteomalacia, thrombocytopenic purpura, paralysis flaccid",63
acitretin,"abdominal pain, acne, alanine aminotransferase increased, alopecia, angiopathy, anxiety, arthralgia, arthritis, asthenia, back pain, blood creatinine increased, blood triglycerides increased, blood uric acid increased, body temperature increased, bone disorder, bone pain, candida infection, chest pain, chills, conjunctivitis, constipation, cough, decreased appetite, depression, dermatitis, dermatitis bullous, dermatitis exfoliative, diabetes mellitus, diarrhoea, diplopia, discomfort, dizziness, dry mouth, dry skin, dysgeusia, dyspepsia, dysphonia, dysuria, eczema, embolism, epistaxis, erectile dysfunction, erythema, eye disorder, eye irritation, fatigue, febrile neutropenia, feeling abnormal, flushing, gait disturbance, gastritis, gastrointestinal disorder, gastrointestinal pain, haematuria, haemoglobin, haemorrhage, headache, herpes simplex, hot flush, hypercholesterolaemia, hyperhidrosis, hyperkeratosis, hyperlipidaemia, hypersensitivity, hypertriglyceridaemia, ill-defined disorder, increased appetite, infection, influenza like illness, insomnia, jaundice, liver function test abnormal, malaise, menopausal symptoms, migraine, mouth ulceration, muscle spasms, muscular weakness, musculoskeletal discomfort, myalgia, nail disorder, nausea, nervousness, neuropathy peripheral, oedema, oedema peripheral, osteoarthritis, pain, pancytopenia, paraesthesia, paronychia, pharyngitis, photophobia, photosensitivity reaction, protein urine present, proteinuria, pruritus, purpura, rash, rhinitis, salivary hypersecretion, scab, scotoma, skin disorder, skin exfoliation, skin irritation, skin ulcer, somnolence, stomatitis, tension, thirst, urinary tract infection, urticaria, vascular purpura, vision blurred, visual impairment, vomiting, weight decreased, weight increased, ageusia, alcohol intolerance, angioedema, anorectal discomfort, anorectal disorder, arthropathy, blepharitis, breast pain, capillary leak syndrome, cheilitis, conjunctival haemorrhage, cyanosis, deafness, disturbance in sexual arousal, dry eye, ear pain, embolism venous, eye pain, eye pruritus, fungal infection, gastroenteritis, gingival bleeding, gingival hyperplasia, gingivitis, glossitis, glycosuria, haemorrhoids, hair texture abnormal, hepatic function abnormal, hepatitis, hordeolum, hyperaesthesia, hypertonia, hypertrichosis, hypoaesthesia, immune system disorder, impaired healing, iritis, lacrimal disorder, libido decreased, lip dry, madarosis, melaena, myopathy, neuritis, oesophagitis, otitis media, pancreatitis, proctalgia, psoriasis, rash erythematous, sinusitis, skin fragility, skin hypertrophy, skin mass, skin odour abnormal, skin papilloma, suicidal ideation, sunburn, sweat gland disorder, tinnitus, tongue ulceration, urine abnormality, urine analysis abnormal, vaginal discharge, vasculitis, visual acuity reduced, white blood cell count decreased, xerophthalmia, balanoposthitis, bursitis, cataract, cerebrovascular accident, cold sweat, furuncle, intracranial pressure increased, laryngitis, optic neuritis, penis disorder, retinal haemorrhage, seborrhoeic dermatitis, skin atrophy, sticky skin, tendonitis, acute myocardial infarction, alcohol abuse, atrophic vulvovaginitis, bleeding time prolonged, cerumen impaction, cyst, exostosis, hair colour changes, high density lipoprotein decreased, intermittent claudication, laboratory test abnormal, lung neoplasm malignant, otitis externa, papilloedema, peripheral ischaemia, rectal tenesmus, skin fissures, tongue disorder, white blood cell count increased, alcoholism, cataract subcapsular, congenital anomaly, congenital eye disorder, developmental delay, drug tolerance decreased, intentional self-injury, ketonuria, night blindness, obesity, saliva altered, self injurious behaviour, ulcerative keratitis, benign intracranial hypertension, scleroderma, adenocarcinoma pancreas, blood sodium increased, chalazion, dermatitis psoriasiform, ectropion, fasting, hypervitaminosis a, monocyte count decreased, pyogenic granuloma, senile ankylosing vertebral hyperostosis, vulvovaginitis, hepatitis f",249
afatinib,"alanine aminotransferase increased, alopecia, aspartate aminotransferase increased, asthenia, back pain, body temperature increased, conjunctival hyperaemia, conjunctivitis, constipation, cough, decreased appetite, dehydration, dermatitis, dermatitis acneiform, diarrhoea, dizziness, dry skin, dysgeusia, dyspepsia, dyspnoea, epistaxis, eye disorder, fatigue, gastrointestinal disorder, headache, hepatobiliary disease, hypokalaemia, infection, infestation, insomnia, malnutrition, mediastinal disorder, mental disorder, mouth ulceration, mucosal inflammation, muscle spasms, nasopharyngitis, nausea, nervous system disorder, paronychia, pneumonia, pruritus, rash, renal failure, renal impairment, skin disorder, stomatitis, upper respiratory tract infection, urethral disorder, urinary tract disorder, urinary tract infection, vomiting, weight decreased, aphthous stomatitis, bladder pain, blood potassium decreased, cheilitis, connective tissue disorder, cystitis, cystitis noninfective, dry eye, interstitial lung disease, keratitis, pulmonary toxicity, rhinorrhoea, sepsis, conjunctival irritation, mucosal ulceration, pruritus generalised, skin fissures, ventricular dysfunction, left ventricular dysfunction, acne pustular, diastolic dysfunction, disease progression, mucosal erosion, nail bed infection, nail infection, nasal inflammation, oral mucosa erosion",80
albendazole,"abdominal pain, alopecia, body temperature increased, dermatitis, dizziness, gastrointestinal pain, headache, hepatobiliary disease, hypersensitivity, leukopenia, liver function test abnormal, nausea, neutropenia, pancytopenia, rash, skin disorder, thrombocytopenia, urethral disorder, urinary tract disorder, urticaria, vertigo, vomiting, agranulocytosis, erythema multiforme, hepatitis, immune system disorder, renal failure acute, stevens-johnson syndrome, intracranial pressure increased, aplastic anaemia, acute hepatic failure",31
alcaftadine,"eye irritation, headache, influenza, nasopharyngitis, ocular hyperaemia, pain, eye pruritus",7
almotriptan,"abdominal discomfort, abdominal pain, abdominal pain upper, agitation, anxiety, arthralgia, arthritis, asthenia, back pain, body temperature increased, bone disorder, breast disorder, bronchitis, cardiac disorder, chest pain, chills, colitis, conjunctivitis, convulsion, dermatitis, diarrhoea, diplopia, discomfort, disturbance in attention, dizziness, dry mouth, dysgeusia, dyspepsia, dyspnoea, epistaxis, erythema, eye disorder, eye irritation, fatigue, feeling abnormal, gastritis, gastrointestinal disorder, gastrointestinal pain, headache, hypercholesterolaemia, hyperglycaemia, hyperhidrosis, hypersensitivity, hypertension, ill-defined disorder, insomnia, malaise, mental disability, mental disorder, muscular weakness, musculoskeletal discomfort, myalgia, nausea, nervous system disorder, nervousness, neuropathy peripheral, pain, pain in extremity, palpitations, paraesthesia, pharyngitis, photosensitivity reaction, pruritus, rash, rhinitis, salivary hypersecretion, scotoma, skin disorder, sneezing, somnolence, tachycardia, tension, thirst, tremor, vasodilation procedure, vertigo, vision blurred, visual impairment, vomiting, acute coronary syndrome, anaphylactic shock, angina pectoris, angioedema, breast pain, colitis ischaemic, confusional state, depressive symptom, dry eye, dysmenorrhoea, ear pain, euphoric mood, eye pain, gastroenteritis, gastrooesophageal reflux disease, hypertonia, hypoaesthesia, hypoaesthesia oral, immune system disorder, loss of consciousness, myocardial infarction, myocardial ischaemia, myopathy, neck pain, nightmare, nystagmus, otitis media, parosmia, peripheral coldness, shock, sinusitis, syncope, tinnitus, ventricular fibrillation, ventricular tachycardia, blepharospasm, cold sweat, coordination abnormal, hyperreflexia, hyperventilation, laryngitis, acute myocardial infarction, hemiplegia, hyperacusis, ischaemia, laryngospasm, swollen tongue, serotonin syndrome, vasospasm, arteriospasm coronary",129
