generic_name_clean,common_side_effects,less_common_side_effects,rare_side_effects,postmarketing_side_effects,unknown_frequency_side_effects
abacavir,"abdominal discomfort, abdominal pain, abnormal dreams, acute coronary syndrome, acute respiratory distress syndrome, alanine aminotransferase increased, alopecia, anaemia, anaphylactic shock, anxiety, arthralgia, aspartate aminotransferase increased","aplasia pure red cell, aplastic anaemia, hepatic steatosis, hyperamylasaemia, lipohypertrophy, respiratory failure, rhabdomyolysis, splenomegaly",,"autoimmune disorder, basedow's disease, hepatitis b, insulin resistance",aids dementia complex
abiraterone,"acute coronary syndrome, alanine aminotransferase increased, anaemia, angiopathy, arrhythmia, aspartate aminotransferase increased, asthenia, blood alkaline phosphatase increased, blood potassium decreased, blood triglycerides increased, body temperature increased, cardiac disorder",sudden death,,cardio-respiratory arrest,
acarbose,"abdominal pain, angiopathy, constipation, dermatitis, diarrhoea, dyspepsia, erythema, flatulence, gastrointestinal disorder, gastrointestinal pain, hepatic function abnormal, hepatitis","liver disorder, subileus, traumatic liver injury","foetor hepaticus, hepatitis fulminant, intussusception","intestinal haemorrhage, pneumatosis, pneumatosis intestinalis, pneumoperitoneum, volvulus",
acetaminophen,"abdominal discomfort, abdominal distension, abdominal pain, agitation, agranulocytosis, alveolitis, anaemia, anaphylactic shock, angioedema, angiopathy, anxiety, aspartate aminotransferase increased","angle closure glaucoma, blood disorder, coma, drug eruption, drug interaction, energy increased, haemolytic anaemia, hypoalbuminaemia, mental status changes, stridor","acute generalised exanthematous pustulosis, acute hepatic failure, hepatic necrosis, hepatitis fulminant, serotonin syndrome","administration site reaction, benign prostatic hyperplasia, bladder neck obstruction, pemphigoid","anaemia postoperative, kounis syndrome"
acetazolamide,"agitation, agranulocytosis, anaphylactic shock, asthenia, ataxia, body temperature increased, confusional state, convulsion, decreased appetite, diarrhoea, discomfort, dizziness","anaphylactoid reaction, aplastic anaemia, blood disorder, myopia","hepatic necrosis, osteomalacia, thrombocytopenic purpura",paralysis flaccid,
acitretin,"abdominal pain, acne, ageusia, alanine aminotransferase increased, alcohol intolerance, alopecia, angioedema, angiopathy, anorectal discomfort, anorectal disorder, anxiety, arthralgia","acute myocardial infarction, alcohol abuse, atrophic vulvovaginitis, benign intracranial hypertension, bleeding time prolonged, cerumen impaction, congenital eye disorder, cyst, exostosis, hair colour changes","alcoholism, cataract subcapsular, congenital anomaly, developmental delay, drug tolerance decreased, intentional self-injury, ketonuria, night blindness","adenocarcinoma pancreas, blood sodium increased, chalazion, dermatitis psoriasiform, ectropion, fasting, hypervitaminosis a, monocyte count decreased",hepatitis f
afatinib,"alanine aminotransferase increased, alopecia, aphthous stomatitis, aspartate aminotransferase increased, asthenia, back pain, bladder pain, blood potassium decreased, body temperature increased, cheilitis, conjunctival hyperaemia, conjunctivitis","conjunctival irritation, mucosal ulceration, pruritus generalised, skin fissures, ventricular dysfunction",left ventricular dysfunction,,"acne pustular, diastolic dysfunction, mucosal erosion, nail bed infection, nail infection, oral mucosa erosion"
albendazole,"abdominal pain, agranulocytosis, alopecia, body temperature increased, dermatitis, dizziness, erythema multiforme, gastrointestinal pain, headache, hepatitis, hepatobiliary disease, hypersensitivity",aplastic anaemia,acute hepatic failure,,
alcaftadine,"eye irritation, eye pruritus, headache, influenza, nasopharyngitis, ocular hyperaemia, pain",,,,
almotriptan,"abdominal discomfort, abdominal pain, abdominal pain upper, acute coronary syndrome, agitation, anaphylactic shock, angina pectoris, angioedema, anxiety, arthralgia, arthritis, asthenia","acute myocardial infarction, hemiplegia, hyperacusis, ischaemia, laryngospasm, swollen tongue","arteriospasm coronary, serotonin syndrome, vasospasm",,
